Ref,Val,Package,PosX,PosY,Rot,Side
"J1-A1","SSQ-120-03-G-D","FP-SSQ-120-03-G-D-MFG",-18.620490,147.073960,180.000000,bottom
"C1","4.7uF","3216[1206]_cap",-33.482010,134.575000,-90.000000,top
"C2","4.7uF","3216[1206]_cap",-29.921000,133.529000,0.000000,top
"C3","0.47uf","1608[0603]_cap",-26.365000,131.527000,180.000000,top
"C4","4.7uF","3216[1206]_cap",-6.934000,116.160000,90.000000,top
"C5","4.7uF","3216[1206]_cap",-6.934000,121.193000,90.000000,top
"C6","0.47uf","1608[0603]_cap",-4.682000,125.050000,90.000000,top
"C7","47uF","3216[1206]_cap",-1.981000,130.384000,-90.000000,top
"C8","47uF","3216[1206]_cap",-13.157000,128.352000,90.000000,top
"C9","4.7uF","3216[1206]_cap",-6.357010,134.138000,0.000000,top
"C10","4.7uF","3216[1206]_cap",-11.125850,134.138000,180.000000,top
"C11","4.7uF","3216[1206]_cap",-14.427000,137.957000,90.000000,top
"C14_Vcap2","1uF","1608[0603]_cap",-17.729000,107.651000,180.000000,top
"C15_Vcap1","100uF","KEMT-T491-D_M",-10.617000,105.629000,0.000000,top
"C16_Vcap4","1uF","1608[0603]_cap",-21.157010,107.651000,0.000000,top
"C17","0.1uF","1608[0603]_cap",-24.206000,107.651000,180.000000,top
"C18","10uF","3216[1206]_cap",-24.460000,105.746000,0.000000,top
"C19","4.7nf","1608[0603]_cap",-31.953000,109.839000,0.000000,top
"C20","4.7nf","1608[0603]_cap",-31.953000,111.839000,0.000000,top
"C21","4.7nf","1608[0603]_cap",-31.953000,113.839000,0.000000,top
"C22","4.7nf","1608[0603]_cap",-31.953000,115.839000,0.000000,top
"C23","4.7nf","1608[0603]_cap",-31.953000,117.839000,0.000000,top
"C24","4.7nf","1608[0603]_cap",-31.953000,119.839000,0.000000,top
"C25","4.7nf","1608[0603]_cap",-31.953000,121.839000,0.000000,top
"C26","4.7nf","1608[0603]_cap",-31.953000,123.839000,0.000000,top
"C27","1.5nf","1608[0603]_cap",-27.982000,124.829000,-90.000000,top
"C28","1uF","1608[0603]_cap",-19.253000,126.066000,-90.000000,top
"C29","0.1uF","1608[0603]_cap",-17.682000,126.066000,-90.000000,top
"C30","0.1uF","1608[0603]_cap",-20.882010,126.056110,-90.000000,top
"C31","1uF","1608[0603]_cap",-22.482010,126.065660,-90.000000,top
"C32","1uF","1608[0603]_cap",-16.782000,133.223930,-90.000000,top
"C33","0.1uF","1608[0603]_cap",-15.189010,133.243000,-90.000000,top
"C34","1uF","1608[0603]_cap",-13.284000,120.986000,180.000000,top
"C35","0.1uF","1608[0603]_cap",-13.284000,122.764000,180.000000,top
"D1","LTST-C190GKT","FP-LTST-C190GKT-MFG",-47.574000,142.449000,0.000000,top
"D2","APTF1616SEJ3ZGGVBDC","FP-APTF1616SEJ3ZGGVBDC-MFG",-47.207000,137.029000,0.000000,top
"D3","LTST-C190GKT","FP-LTST-C190GKT-MFG",-42.500000,105.100000,-90.000000,top
"J2-R1","61301011021","61301011021",-42.733530,121.032170,-90.000000,top
"JMP1-R1","61300211021","61300211021",4.966470,138.032170,90.000000,top
"JMP2-R1","61300211021","61300211021",4.966470,131.032170,90.000000,top
"JMP3-R1","61300211021","61300211021",4.966470,124.032170,90.000000,top
"M1","~","board_screw",10.218000,105.029000,0.000000,top
"M2","~","board_screw",-47.782000,105.029000,0.000000,top
"M3","~","board_screw",10.218000,147.029000,0.000000,top
"M4","~","board_screw",-47.782000,147.029000,0.000000,top
"Q1","IRLML2502","SOT-23",-35.600000,104.600000,-90.000000,top
"R1","1K","1608[0603]_res",-45.282010,142.465660,90.000000,top
"R2","24.9K","1608[0603]_res",-26.365000,130.003000,0.000000,top
"R3","33.2K","1608[0603]_res",-2.997000,125.050000,90.000000,top
"R4","24.9K","1608[0603]_res",-16.713000,138.258000,-90.000000,top
"R5","100K","1608[0603]_res",-37.075000,107.437500,180.000000,top
"R6","100","1608[0603]_res",-33.850000,107.437500,180.000000,top
"R7","1k","1608[0603]_res",-40.700000,105.200000,-90.000000,top
"R8","10k","1608[0603]_res",-12.200000,116.600000,0.000000,top
"R9","10K","1608[0603]_res",-13.282010,109.429000,180.000000,top
"R10","10K","1608[0603]_res",-13.282010,110.953000,180.000000,top
"R12","5k","1608[0603]_res",-36.271000,109.839000,0.000000,top
"R13","5k","1608[0603]_res",-36.271000,111.839000,0.000000,top
"R14","5k","1608[0603]_res",-36.271000,113.839000,0.000000,top
"R15","5k","1608[0603]_res",-36.271000,115.839000,0.000000,top
"R16","5k","1608[0603]_res",-36.271000,117.839000,0.000000,top
"R17","5k","1608[0603]_res",-36.271000,119.839000,0.000000,top
"R18","5k","1608[0603]_res",-36.271000,121.839000,0.000000,top
"R19","5k","1608[0603]_res",-36.271000,123.839000,0.000000,top
"R20","5k","1608[0603]_res",-29.540000,124.829000,-90.000000,top
"R21","1M","1608[0603]_res",-26.482000,124.829000,90.000000,top
"R22","10k","1608[0603]_res",-14.307010,124.965660,180.000000,top
"R23","0","1608[0603]_res",-27.254000,107.651000,0.000000,top
"R27","10K","1608[0603]_res",-27.889000,142.068000,0.000000,top
"R29","1.5K","1608[0603]_res",-43.129000,136.029000,0.000000,top
"R30","6K","1608[0603]_res",-43.129000,137.623000,0.000000,top
"R31","1.8K","1608[0603]_res",-43.129000,139.129000,0.000000,top
"R32","0","1608[0603]_res",-24.968000,124.829000,90.000000,top
"R33","5k","1608[0603]_res",-35.255000,126.193000,0.000000,top
"SW1","A6H-2102","FP-A6H-2102-MFG",-23.952000,139.147000,0.000000,top
"TP1","-2.5V","TESTPOINT",-18.745000,133.929000,0.000000,top
"TP2","3.3V","TESTPOINT",-10.744000,125.050000,180.000000,top
"TP3","2.5v","TESTPOINT",-30.048000,136.607000,0.000000,top
"U1","LT3042xMSE","FP-MSE-10-05-08-1664-IPC_C",-31.445000,130.511000,0.000000,top
"U2","LT3042xMSE","FP-MSE-10-05-08-1664-IPC_C",-3.782000,119.716000,90.000000,top
"U3","LM2662MX/NOPB","D0008A_M",-7.569000,129.749000,180.000000,top
"U4","LT3094xMSE","FP-MSE-12-05-08-1666-IPC_A",-8.839000,138.258000,180.000000,top
"U5","ADS1299IPAG","PAG0064A_M",-22.075010,116.050000,0.000000,top
